seasonNum,episodeNum,episodeTitle,sceneNum,sceneStart,sceneEnd,location,subLocation,name,time
1,1,Winter Is Coming,1,40S,1M 45S,The Wall,Castle Black,Gared,65
1,1,Winter Is Coming,1,40S,1M 45S,The Wall,Castle Black,Waymar Royce,65
1,1,Winter Is Coming,1,40S,1M 45S,The Wall,Castle Black,Will,65
1,1,Winter Is Coming,2,1M 45S,3M 24S,North of the Wall,The Haunted Forest,Gared,99
1,1,Winter Is Coming,2,1M 45S,3M 24S,North of the Wall,The Haunted Forest,Waymar Royce,99
1,1,Winter Is Coming,2,1M 45S,3M 24S,North of the Wall,The Haunted Forest,Will,99
1,1,Winter Is Coming,3,3M 24S,3M 31S,North of the Wall,The Haunted Forest,Will,7
1,1,Winter Is Coming,3,3M 24S,3M 31S,North of the Wall,The Haunted Forest,Wight Wildling Girl,7
1,1,Winter Is Coming,4,3M 31S,3M 38S,North of the Wall,The Haunted Forest,Will,7
1,1,Winter Is Coming,6,3M 44S,5M 36S,North of the Wall,The Haunted Forest,Gared,112
1,1,Winter Is Coming,6,3M 44S,5M 36S,North of the Wall,The Haunted Forest,Waymar Royce,112
1,1,Winter Is Coming,6,3M 44S,5M 36S,North of the Wall,The Haunted Forest,Will,112
1,1,Winter Is Coming,7,5M 36S,5M 41S,North of the Wall,The Haunted Forest,Will,5
1,1,Winter Is Coming,8,5M 41S,5M 48S,North of the Wall,The Haunted Forest,Gared,7
1,1,Winter Is Coming,8,5M 41S,5M 48S,North of the Wall,The Haunted Forest,Waymar Royce,7
1,1,Winter Is Coming,9,5M 48S,5M 58S,North of the Wall,The Haunted Forest,Will,10
1,1,Winter Is Coming,10,5M 58S,6M 21S,North of the Wall,The Haunted Forest,Gared,23
1,1,Winter Is Coming,10,5M 58S,6M 21S,North of the Wall,The Haunted Forest,Waymar Royce,23
1,1,Winter Is Coming,10,5M 58S,6M 21S,North of the Wall,The Haunted Forest,White Walker,23
1,1,Winter Is Coming,11,6M 21S,6M 39S,North of the Wall,The Haunted Forest,Will,18
1,1,Winter Is Coming,12,6M 39S,6M 49S,North of the Wall,The Haunted Forest,Will,10
1,1,Winter Is Coming,12,6M 39S,6M 49S,North of the Wall,The Haunted Forest,Wight Wildling Girl,10
1,1,Winter Is Coming,13,6M 49S,7M 45S,North of the Wall,The Haunted Forest,Will,56
1,1,Winter Is Coming,13,6M 49S,7M 45S,North of the Wall,The Haunted Forest,Gared,56
1,1,Winter Is Coming,13,6M 49S,7M 45S,North of the Wall,The Haunted Forest,White Walker,56
1,1,Winter Is Coming,14,9M 27S,12M 38S,The North,Winterfell,Will,191
1,1,Winter Is Coming,14,9M 27S,12M 38S,The North,Winterfell,Jon Snow,191
1,1,Winter Is Coming,14,9M 27S,12M 38S,The North,Winterfell,Bran Stark,191
1,1,Winter Is Coming,14,9M 27S,12M 38S,The North,Winterfell,Robb Stark,191
1,1,Winter Is Coming,14,9M 27S,12M 38S,The North,Winterfell,Eddard Stark,191
1,1,Winter Is Coming,14,9M 27S,12M 38S,The North,Winterfell,Catelyn Stark,191
1,1,Winter Is Coming,14,9M 27S,12M 38S,The North,Winterfell,Rickon Stark,191
1,1,Winter Is Coming,14,9M 27S,12M 38S,The North,Winterfell,Sansa Stark,191
1,1,Winter Is Coming,14,9M 27S,12M 38S,The North,Winterfell,Arya Stark,191
1,1,Winter Is Coming,14,9M 27S,12M 38S,The North,Winterfell,Theon Greyjoy,191
1,1,Winter Is Coming,14,9M 27S,12M 38S,The North,Winterfell,Rodrik Cassel,191
1,1,Winter Is Coming,14,9M 27S,12M 38S,The North,Winterfell,Septa Mordane,191
1,1,Winter Is Coming,15,12M 38S,15M 41S,The North,Outside Winterfell,Will,183
1,1,Winter Is Coming,15,12M 38S,15M 41S,The North,Outside Winterfell,Eddard Stark,183
1,1,Winter Is Coming,15,12M 38S,15M 41S,The North,Outside Winterfell,Robb Stark,183
1,1,Winter Is Coming,15,12M 38S,15M 41S,The North,Outside Winterfell,Theon Greyjoy,183
1,1,Winter Is Coming,15,12M 38S,15M 41S,The North,Outside Winterfell,Bran Stark,183
1,1,Winter Is Coming,15,12M 38S,15M 41S,The North,Outside Winterfell,Rodrik Cassel,183
1,1,Winter Is Coming,15,12M 38S,15M 41S,The North,Outside Winterfell,Jory Cassel,183
1,1,Winter Is Coming,15,12M 38S,15M 41S,The North,Outside Winterfell,Jon Snow,183
1,1,Winter Is Coming,16,15M 41S,18M 44S,The North,Outside Winterfell,Jon Snow,183
1,1,Winter Is Coming,16,15M 41S,18M 44S,The North,Outside Winterfell,Eddard Stark,183
1,1,Winter Is Coming,16,15M 41S,18M 44S,The North,Outside Winterfell,Theon Greyjoy,183
1,1,Winter Is Coming,16,15M 41S,18M 44S,The North,Outside Winterfell,Bran Stark,183
1,1,Winter Is Coming,16,15M 41S,18M 44S,The North,Outside Winterfell,Robb Stark,183
1,1,Winter Is Coming,16,15M 41S,18M 44S,The North,Outside Winterfell,Rodrik Cassel,183
1,1,Winter Is Coming,16,15M 41S,18M 44S,The North,Outside Winterfell,Jory Cassel,183
1,1,Winter Is Coming,16,15M 41S,18M 44S,The North,Outside Winterfell,Grey Wind,183
1,1,Winter Is Coming,16,15M 41S,18M 44S,The North,Outside Winterfell,Lady,183
1,1,Winter Is Coming,16,15M 41S,18M 44S,The North,Outside Winterfell,Nymeria,183
1,1,Winter Is Coming,16,15M 41S,18M 44S,The North,Outside Winterfell,Summer,183
1,1,Winter Is Coming,16,15M 41S,18M 44S,The North,Outside Winterfell,Shaggydog,183
1,1,Winter Is Coming,16,15M 41S,18M 44S,The North,Outside Winterfell,Ghost,183
1,1,Winter Is Coming,17,18M 44S,20M 45S,The Crownlands,King's Landing,Jon Arryn,121
1,1,Winter Is Coming,17,18M 44S,20M 45S,The Crownlands,King's Landing,Cersei Lannister,121
1,1,Winter Is Coming,17,18M 44S,20M 45S,The Crownlands,King's Landing,Jaime Lannister,121
1,1,Winter Is Coming,18,20M 45S,22M 43S,The North,Winterfell,Catelyn Stark,118
1,1,Winter Is Coming,18,20M 45S,22M 43S,The North,Winterfell,Eddard Stark,118
1,1,Winter Is Coming,19,22M 43S,23M 9S,The North,Winterfell,Catelyn Stark,26
1,1,Winter Is Coming,19,22M 43S,23M 9S,The North,Winterfell,Maester Luwin,26
1,1,Winter Is Coming,20,23M 9S,23M 39S,The North,Winterfell,Robb Stark,30
1,1,Winter Is Coming,20,23M 9S,23M 39S,The North,Winterfell,Theon Greyjoy,30
1,1,Winter Is Coming,20,23M 9S,23M 39S,The North,Winterfell,Jon Snow,30
1,1,Winter Is Coming,21,23M 39S,29M 16S,The North,Winterfell,Bran Stark,337
1,1,Winter Is Coming,21,23M 39S,29M 16S,The North,Winterfell,Catelyn Stark,337
1,1,Winter Is Coming,21,23M 39S,29M 16S,The North,Winterfell,Maester Luwin,337
1,1,Winter Is Coming,21,23M 39S,29M 16S,The North,Winterfell,Summer,337
1,1,Winter Is Coming,21,23M 39S,29M 16S,The North,Winterfell,Arya Stark,337
1,1,Winter Is Coming,21,23M 39S,29M 16S,The North,Winterfell,Joffrey Baratheon,337
1,1,Winter Is Coming,21,23M 39S,29M 16S,The North,Winterfell,Sandor Clegane,337
1,1,Winter Is Coming,21,23M 39S,29M 16S,The North,Winterfell,Rickon Stark,337
1,1,Winter Is Coming,21,23M 39S,29M 16S,The North,Winterfell,Eddard Stark,337
