aff nom com,Climat_Velo_num,Commune,Depcom,nb réponses/1000 hab,A,A+,B,C,Catégorie,Commune,D,disparite,E,F,G,podium,LATITUDE,LONGITUDE,Avg. n_tot_valide_net,Avg. note_globale_moy,POPULATION
,G,Yerres (91),91691,2.081887578,,,,,[20 000-50 000[,Yerres (91),,moyenne,,,G  très défavorable,non classé,48.715721071,2.492730203,56,2.276845238,3890700
,G,Wimereux (62),62893,17.954378219,,,,,[0-20 000[,Wimereux (62),,moyenne,,,G  très défavorable,non classé,50.779249789,1.613432313,109,2.066850153,917325
,G,Wattignies (59),59648,3.935105281,,,,,[0-20 000[,Wattignies (59),,faible,,,G  très défavorable,non classé,50.586492816,3.041938036,52,2.075512821,1955475
,G,Vitry-sur-Seine (94),94081,1.110452267,,,,,[50 000-100 000[,Vitry-sur-Seine (94),,faible,,,G  très défavorable,non classé,48.788282831,2.394126805,95,2.063052632,12521925
,G,Villemomble (93),93077,1.730391667,,,,,[20 000-50 000[,Villemomble (93),,faible,,,G  très défavorable,non classé,48.884837002,2.508934060,45,1.904740741,4056885
,G,Villefranche-de-Rouergue (12),12300,4.287876240,,,,,[0-20 000[,Villefranche-de-Rouergue (12),,faible,,,G  très défavorable,non classé,44.349916017,2.031032876,46,2.007753623,1605690
,G,Villars-les-Dombes (01),01443,12.532411409,,,,,[0-20 000[,Villars-les-Dombes (01),,faible,,,G  très défavorable,non classé,45.992715022,5.045078566,57,2.241871345,624780
,G,Vigneux-sur-Seine (91),91657,1.855643716,,,,,[20 000-50 000[,Vigneux-sur-Seine (91),,faible,,,G  très défavorable,non classé,48.703744535,2.427932038,53,2.075786164,4219560
,G,Vias (34),34332,10.333155175,,,,,[0-20 000[,Vias (34),,faible,,,G  très défavorable,non classé,43.313114264,3.398897104,54,2.171111111,757755
,G,Verneuil-en-Halatte (60),60670,11.607910576,,,,,[0-20 000[,Verneuil-en-Halatte (60),,faible,,,G  très défavorable,non classé,49.272992092,2.534621910,53,2.236540881,628020
,G,Valserhône (01),01033,8.914795131,,,,,[0-20 000[,Valserhône (01),,faible,,,G  très défavorable,non classé,46.106790175,5.832027365,91,2.000842491,1574910
,G,Vallauris (06),06155,2.141408070,,,,,[20 000-50 000[,Vallauris (06),,faible,,,G  très défavorable,non classé,43.576647300,7.058366129,55,1.984545455,3593430
,G,Triel-sur-Seine (78),78624,5.239141457,,,,,[0-20 000[,Triel-sur-Seine (78),,faible,,,G  très défavorable,non classé,48.978028251,2.008770517,61,2.049945355,1597590
,G,Thiais (94),94073,1.861683790,,,,,[20 000-50 000[,Thiais (94),,faible,,,G  très défavorable,non classé,48.760784193,2.385377295,52,2.273846154,3915810
,G,Sotteville-lès-Rouen (76),76681,4.725604498,,,,,[20 000-50 000[,Sotteville-lès-Rouen (76),,faible,,,G  très défavorable,non classé,49.410488744,1.095099465,131,2.240508906,3913785
,G,Soissons (02),02722,5.796388674,,,,,[20 000-50 000[,Soissons (02),,faible,,,G  très défavorable,non classé,49.379174298,3.324717585,155,2.136860215,3842910
,G,Simiane-Collongue (13),13107,13.486782953,,,,,[0-20 000[,Simiane-Collongue (13),,faible,,,G  très défavorable,non classé,43.411551859,5.437969244,69,2.191449275,750735
,G,Seysses (31),31547,17.184477068,,,,,[0-20 000[,Seysses (31),,faible,,,G  très défavorable,non classé,43.498891579,1.286905756,141,2.231252955,1186245
,G,Santes (59),59553,11.615811373,,,,,[0-20 000[,Santes (59),,faible,,,G  très défavorable,non classé,50.590987907,2.961144220,64,2.278177083,778680
,G,Sanary-sur-Mer (83),83123,4.362636706,,,,,[0-20 000[,Sanary-sur-Mer (83),,faible,,,G  très défavorable,non classé,43.138282853,5.795888142,58,2.002701149,2258955
,G,Sainte-Adresse (76),76552,8.097165992,,,,,[0-20 000[,Sainte-Adresse (76),,faible,,,G  très défavorable,non classé,49.510129132,0.077977095,58,2.209367816,1000350
,G,Saint-Raphaël (83),83118,2.299699052,,,,,[20 000-50 000[,Saint-Raphaël (83),,faible,,,G  très défavorable,non classé,43.457462543,6.847342104,75,2.145333333,4754970
,G,Saint-Quentin (02),02691,1.193909226,,,,,[50 000-100 000[,Saint-Quentin (02),,faible,,,G  très défavorable,non classé,49.847233632,3.277694995,60,2.252,7349805
,G,Saint-Pierre (974),97416,0.831660112,,,,,[50 000-100 000[,Saint-Pierre (974),,moyenne,,,G  très défavorable,non classé,-21.312324243,55.493615516,65,2.138871795,11362815
,G,Saint-Paul (974),97415,0.853226143,,,,,[100 000-200 000[,Saint-Paul (974),,faible,,,G  très défavorable,non classé,-21.044531752,55.322333430,82,2.246138211,14240070
,G,Saint-Ouen-sur-Seine (93),93070,8.698453608,,,,,[20 000-50 000[,Saint-Ouen-sur-Seine (93),,faible,,,G  très défavorable,non classé,48.909806575,2.332570422,408,1.992883987,6704640
,G,Saint-Michel-sur-Orge (91),91570,2.667874761,,,,,[0-20 000[,Saint-Michel-sur-Orge (91),,faible,,,G  très défavorable,non classé,48.632049600,2.311702778,50,2.1682,2681910
,G,Saint-Martin-de-Londres (34),34274,22.058823529,,,,,[0-20 000[,Saint-Martin-de-Londres (34),,faible,,,G  très défavorable,non classé,43.792637295,3.707496716,55,2.105151515,367200
